Algorithm: Kruskal's MST
MST edges:
48 79 1
67 97 7
73 89 8
63 94 8
8 81 18
38 79 19
22 29 37
54 94 41
76 88 47
35 78 50
19 42 51
45 97 66
11 43 68
84 96 86
11 22 89
44 60 91
13 96 97
20 92 103
28 86 108
11 32 110
49 97 110
10 28 112
3 91 117
3 71 118
13 90 119
47 49 133
83 88 138
13 95 142
19 89 146
31 43 146
66 83 157
45 63 160
83 99 160
91 99 163
28 80 163
80 87 168
55 98 171
92 98 174
24 49 175
21 49 176
54 98 181
91 93 182
25 92 183
17 43 186
14 75 188
12 64 190
42 53 191
16 98 193
57 68 194
20 79 194
61 89 196
53 85 198
39 84 198
3 98 203
45 81 208
73 74 210
21 74 214
18 25 218
2 76 226
56 77 231
8 30 237
54 68 239
11 48 241
1 68 242
46 97 253
31 86 254
96 97 269
13 64 280
57 82 293
41 66 303
58 74 313
9 34 313
56 58 314
0 50 315
51 88 322
69 80 322
9 54 340
43 78 369
40 50 371
0 54 372
7 60 379
24 44 385
35 59 385
37 42 394
10 65 415
36 55 415
70 74 420
26 37 421
58 62 427
5 14 428
4 82 441
15 34 452
56 72 480
9 52 488
27 34 489
5 68 507
6 49 533
23 61 542
7 33 636
Total MST weight: 22636
Execution time: 0.023186 ms

Algorithm: Prim's MST
MST edges:
0 50 315
50 40 371
0 54 372
54 94 41
94 63 8
63 45 160
45 97 66
97 67 7
97 49 110
49 47 133
49 24 175
49 21 176
54 98 181
98 55 171
98 92 174
92 20 103
92 25 183
98 16 193
20 79 194
79 48 1
79 38 19
98 3 203
3 91 117
3 71 118
91 99 163
99 83 160
83 88 138
88 76 47
83 66 157
91 93 182
45 81 208
81 8 18
21 74 214
74 73 210
73 89 8
89 19 146
19 42 51
42 53 191
89 61 196
53 85 198
25 18 218
76 2 226
8 30 237
54 68 239
68 57 194
48 11 241
11 43 68
11 22 89
22 29 37
11 32 110
43 31 146
43 17 186
68 1 242
97 46 253
31 86 254
86 28 108
28 10 112
28 80 163
80 87 168
97 96 269
96 84 86
96 13 97
13 90 119
13 95 142
84 39 198
13 64 280
64 12 190
57 82 293
66 41 303
74 58 313
58 56 314
56 77 231
88 51 322
80 69 322
54 9 340
9 34 313
43 78 369
78 35 50
24 44 385
44 60 91
60 7 379
35 59 385
42 37 394
55 36 415
10 65 415
74 70 420
37 26 421
58 62 427
82 4 441
34 15 452
56 72 480
9 52 488
34 27 489
68 5 507
5 14 428
14 75 188
49 6 533
61 23 542
7 33 636
Total MST weight: 22636
Execution time: 0.025358 ms

Equal total weight (Kruskal vs Prim): Yes
Kruskal time: 0.023186 ms | Prim time: 0.025358 ms
